zip,UB_supply_0_12_ignore_spacing,need_0_12,UB_supply_0_5_ignore_spacing,need_0_5,hopeless_0_12,hopeless_0_5
13166,40027.6,261.19999999999993,20000.0,200.9333333333333,False,False
13167,40024.0,139.9333333333333,20020.0,101.6,False,False
13202,40141.6,656.3,20094.0,438.1333333333333,False,False
13203,40632.4,1127.0,20260.0,577.5999999999999,False,False
13204,40820.8,2161.2,20273.0,1083.8666666666666,False,False
13205,40710.4,1708.4,20153.0,1012.6666666666666,False,False
13206,40302.4,1418.1,20058.0,842.5333333333333,False,False
13207,40500.4,1171.6,20153.0,833.8666666666666,False,False
13208,40750.0,2675.1,20295.0,1486.7999999999997,False,False
13209,40279.6,1001.5,20075.0,690.8,False,False
13210,40207.6,907.9000000000001,20014.0,683.6,False,False
13211,40091.2,489.6,20036.0,244.66666666666666,False,False
13212,40465.6,1295.5,20128.0,648.4,False,False
13214,40434.4,476.3999999999999,20209.0,376.26666666666665,False,False
13215,40475.2,727.1999999999999,20286.0,618.4,False,False
13219,40290.4,797.0,20178.0,709.1999999999999,False,False
13224,40550.8,539.6666666666666,20323.0,418.66666666666663,False,False
13244,40133.2,0.0,20111.0,0.0,False,False
13290,40000.0,0.0,20000.0,0.0,False,False
13301,40000.0,10.666666666666666,20000.0,7.466666666666666,False,False
13302,40000.0,127.69999999999999,20000.0,91.46666666666665,False,False
13303,40009.6,45.39999999999999,20000.0,29.46666666666667,False,False
13304,40028.8,114.86666666666667,20016.0,128.0,False,False
13305,40000.0,0.0,20000.0,0.0,False,False
13308,40000.0,353.79999999999995,20000.0,135.46666666666664,False,False
13309,40038.4,259.0666666666666,20000.0,216.26666666666665,False,False
13310,40000.0,20.0,20000.0,26.666666666666664,False,False
13312,40000.0,7.466666666666666,20000.0,8.133333333333333,False,False
13313,40000.0,28.666666666666664,20000.0,20.53333333333333,False,False
13314,40000.0,23.4,20000.0,2.0,False,False
13315,40045.6,82.39999999999999,20030.0,66.0,False,False
13316,40028.8,449.20000000000005,20000.0,234.79999999999998,False,False
13317,40028.8,489.40000000000003,20000.0,261.73333333333335,False,False
13318,40009.6,80.3,20000.0,50.666666666666664,False,False
13319,40009.6,9.0,20000.0,2.0,False,False
13320,40000.0,95.86666666666667,20000.0,99.73333333333332,False,False
13321,40019.2,44.6,20000.0,8.0,False,False
13322,40000.0,57.93333333333334,20000.0,46.666666666666664,False,False
13323,40345.6,365.26666666666665,20162.0,290.79999999999995,False,False
13324,40000.0,81.7,20000.0,46.93333333333334,False,False
13325,40000.0,85.7,20000.0,58.666666666666664,False,False
13326,40234.0,124.06666666666668,20135.0,91.6,False,False
13327,40009.6,237.10000000000002,20000.0,110.26666666666667,False,False
13328,40000.0,80.26666666666667,20000.0,56.0,False,False
13329,40031.2,282.0,20000.0,132.26666666666665,False,False
13331,40000.0,0.0,20000.0,0.0,False,False
13332,40009.6,423.70000000000005,20000.0,290.5333333333333,False,False
13333,40000.0,0.7999999999999999,20000.0,0.26666666666666666,False,False
13334,40000.0,66.30000000000001,20000.0,46.93333333333334,False,False
13335,40000.0,125.3,20000.0,95.06666666666666,False,False
13337,40000.0,23.4,20000.0,6.133333333333333,False,False
13338,40009.6,99.39999999999999,20000.0,26.4,False,False
13339,40096.0,619.0,20000.0,384.9333333333333,False,False
13340,40086.4,426.9333333333333,20008.0,322.26666666666665,False,False
13342,40000.0,30.933333333333337,20000.0,36.13333333333333,False,False
13343,40019.2,77.33333333333333,20016.0,55.199999999999996,False,False
13345,40000.0,10.399999999999999,20000.0,16.0,False,False
13346,40175.2,206.66666666666666,20090.0,158.66666666666666,False,False
13348,40009.6,75.33333333333333,20000.0,59.33333333333333,False,False
13350,40162.0,461.1,20079.0,239.2,False,False
13352,40000.0,5.999999999999998,20000.0,0.8,False,False
13353,40000.0,2.6666666666666665,20000.0,2.0,False,False
13354,40000.0,232.19999999999996,20000.0,218.13333333333333,False,False
13355,40009.6,79.6,20000.0,80.13333333333333,False,False
13357,40120.0,932.3,20000.0,390.9333333333333,False,False
13360,40000.0,4.8,20000.0,0.0,False,False
13361,40000.0,33.1,20000.0,30.4,False,False
13363,40000.0,153.2,20000.0,139.46666666666664,False,False
13364,40000.0,1.0,20000.0,0.0,False,False
13365,40090.0,869.0,20024.0,460.26666666666665,False,False
13367,40313.2,412.06666666666666,20117.0,356.0,False,False
13368,40045.6,102.0,20030.0,70.8,False,False
13402,40012.0,62.599999999999994,20000.0,31.599999999999998,False,False
13403,40163.2,309.59999999999997,20080.0,392.5333333333333,False,False
13404,40000.0,6.333333333333333,20000.0,4.666666666666666,False,False
13406,40000.0,50.2,20000.0,22.666666666666664,False,False
13407,40080.4,350.29999999999995,20000.0,174.9333333333333,False,False
13408,40106.8,156.29999999999998,20066.0,80.8,False,False
13409,40115.2,98.19999999999999,20000.0,44.8,False,False
13410,40000.0,7.333333333333333,20000.0,10.666666666666666,False,False
13411,40097.2,185.60000000000002,20017.0,121.86666666666667,False,False
13413,40448.8,709.7333333333332,20206.0,421.3333333333333,False,False
13415,40000.0,0.0,20000.0,0.0,False,False
13416,40019.2,128.59999999999997,20000.0,109.46666666666665,False,False
13417,40024.0,113.5,20000.0,64.26666666666667,False,False
13418,40000.0,1.0,20000.0,2.0,False,False
